"order_id","order_status_id","user_id","status"
37488,10,0,ORDER_ACCEPTED
37488,6,35128,ADMIN_CANCELED
37489,2,35128,ORDER_CONFIRMED
37489,10,0,ORDER_ACCEPTED
37489,6,35128,ADMIN_CANCELED
37490,2,35062,ORDER_CONFIRMED
37491,2,35128,ORDER_CONFIRMED
37490,10,35062,ORDER_ACCEPTED
37491,10,0,ORDER_ACCEPTED
37490,6,35062,ADMIN_CANCELED
37492,2,35128,ORDER_CONFIRMED
37492,10,35128,ORDER_ACCEPTED
37492,6,35128,ADMIN_CANCELED
37493,2,35128,ORDER_CONFIRMED
37490,7,35062,ORDER_DELIVERED
37490,9,35062,ORDER_COMPLETE
37493,6,0,ADMIN_CANCELED
37494,2,35112,ORDER_CONFIRMED
37494,10,35112,ORDER_ACCEPTED
37495,2,35128,ORDER_CONFIRMED
37495,10,0,ORDER_ACCEPTED
37496,2,35112,ORDER_CONFIRMED
37496,10,35112,ORDER_ACCEPTED
37497,2,35128,ORDER_CONFIRMED
37497,10,35128,ORDER_ACCEPTED
37498,2,35112,ORDER_CONFIRMED
37498,6,35112,ADMIN_CANCELED
37498,10,35112,ORDER_ACCEPTED
37499,2,35128,ORDER_CONFIRMED
37499,10,35128,ORDER_ACCEPTED
37500,1,35109,ORDER_CREATE
37500,2,35109,ORDER_CONFIRMED
37500,10,35112,ORDER_ACCEPTED
37501,2,35128,ORDER_CONFIRMED
37501,10,35128,ORDER_ACCEPTED
37502,2,35128,ORDER_CONFIRMED
37503,1,35109,ORDER_CREATE
37503,2,35109,ORDER_CONFIRMED
37502,10,35128,ORDER_ACCEPTED
37464,7,35128,ORDER_DELIVERED
37464,9,35128,ORDER_COMPLETE
37503,10,35112,ORDER_ACCEPTED
37504,1,35129,ORDER_CREATE
37504,2,35129,ORDER_CONFIRMED
37504,10,35128,ORDER_ACCEPTED
37504,6,35128,ADMIN_CANCELED
37505,2,35062,ORDER_CONFIRMED
37505,10,35062,ORDER_ACCEPTED
37505,6,35062,ADMIN_CANCELED
37506,2,35062,ORDER_CONFIRMED
37506,10,35062,ORDER_ACCEPTED
37506,7,35062,ORDER_DELIVERED
37506,9,35062,ORDER_COMPLETE
37507,1,35123,ORDER_CREATE
37507,2,35123,ORDER_CONFIRMED
37507,6,0,ADMIN_CANCELED
37508,1,35109,ORDER_CREATE
37508,2,35109,ORDER_CONFIRMED
37508,10,35112,ORDER_ACCEPTED
37508,7,35111,ORDER_DELIVERED
37508,9,35111,ORDER_COMPLETE
37509,1,35109,ORDER_CREATE
37509,2,35109,ORDER_CONFIRMED
37509,10,35111,ORDER_ACCEPTED
37509,7,35111,ORDER_DELIVERED
37509,9,35112,ORDER_COMPLETE
37510,1,35094,ORDER_CREATE
37510,2,35094,ORDER_CONFIRMED
37510,6,0,ADMIN_CANCELED
37511,1,35094,ORDER_CREATE
37511,2,35094,ORDER_CONFIRMED
37512,1,35094,ORDER_CREATE
37512,2,35094,ORDER_CONFIRMED
37511,10,35062,ORDER_ACCEPTED
37513,1,35094,ORDER_CREATE
37513,2,35094,ORDER_CONFIRMED
37512,6,0,ADMIN_CANCELED
37513,10,35062,ORDER_ACCEPTED
37514,2,35062,ORDER_CONFIRMED
37515,2,35062,ORDER_CONFIRMED
37515,6,35062,ADMIN_CANCELED
37514,6,0,ADMIN_CANCELED
37516,1,35094,ORDER_CREATE
37516,2,35094,ORDER_CONFIRMED
37516,5,35094,BORROWER_CANCELED
37517,1,35094,ORDER_CREATE
37517,2,35094,ORDER_CONFIRMED
37517,10,35062,ORDER_ACCEPTED
37518,2,35062,ORDER_CONFIRMED
37518,6,0,ADMIN_CANCELED
37519,1,35094,ORDER_CREATE
37519,2,35094,ORDER_CONFIRMED
37520,1,35094,ORDER_CREATE
37520,2,35094,ORDER_CONFIRMED
37521,1,35094,ORDER_CREATE
37521,2,35094,ORDER_CONFIRMED
37519,6,0,ADMIN_CANCELED
37521,5,35094,BORROWER_CANCELED
37522,2,35062,ORDER_CONFIRMED
37522,6,0,ADMIN_CANCELED
37520,6,0,ADMIN_CANCELED
37523,2,35062,ORDER_CONFIRMED
37524,1,35094,ORDER_CREATE
37524,2,35094,ORDER_CONFIRMED
37523,10,35062,ORDER_ACCEPTED
37524,6,0,ADMIN_CANCELED
37525,1,35094,ORDER_CREATE
37525,2,35094,ORDER_CONFIRMED
37525,10,35062,ORDER_ACCEPTED
37526,1,35094,ORDER_CREATE
37526,2,35094,ORDER_CONFIRMED
37526,5,35094,BORROWER_CANCELED
37527,1,35094,ORDER_CREATE
37527,2,35094,ORDER_CONFIRMED
37528,2,35062,ORDER_CONFIRMED
37529,1,35094,ORDER_CREATE
37529,2,35094,ORDER_CONFIRMED
37530,1,35094,ORDER_CREATE
37530,2,35094,ORDER_CONFIRMED
37530,10,35062,ORDER_ACCEPTED
37527,6,0,ADMIN_CANCELED
37531,2,35062,ORDER_CONFIRMED
37529,6,0,ADMIN_CANCELED
37528,10,35062,ORDER_ACCEPTED
37531,6,35062,ADMIN_CANCELED
37532,1,35094,ORDER_CREATE
37532,2,35094,ORDER_CONFIRMED
37532,6,35062,ADMIN_CANCELED
37533,1,35094,ORDER_CREATE
37533,2,35094,ORDER_CONFIRMED
37533,6,0,ADMIN_CANCELED
37534,1,35129,ORDER_CREATE
37534,2,35129,ORDER_CONFIRMED
37534,10,35128,ORDER_ACCEPTED
37535,1,35129,ORDER_CREATE
37535,2,35129,ORDER_CONFIRMED
37535,10,35128,ORDER_ACCEPTED
37535,6,0,ADMIN_CANCELED
37534,6,0,ADMIN_CANCELED
37536,1,35129,ORDER_CREATE
37536,2,35129,ORDER_CONFIRMED
37536,10,0,ORDER_ACCEPTED
37537,1,35129,ORDER_CREATE
37537,2,35129,ORDER_CONFIRMED
37537,10,35130,ORDER_ACCEPTED
37538,1,35094,ORDER_CREATE
37538,2,35094,ORDER_CONFIRMED
37538,6,0,ADMIN_CANCELED
37537,6,35128,ADMIN_CANCELED
37539,1,35094,ORDER_CREATE
37539,2,35094,ORDER_CONFIRMED
37539,10,35062,ORDER_ACCEPTED
37540,1,35129,ORDER_CREATE
37540,2,35129,ORDER_CONFIRMED
37540,10,35133,ORDER_ACCEPTED
37541,1,35129,ORDER_CREATE
37541,2,35129,ORDER_CONFIRMED
37541,10,0,ORDER_ACCEPTED
37542,1,35129,ORDER_CREATE
37542,2,35129,ORDER_CONFIRMED
37542,10,35133,ORDER_ACCEPTED
37541,6,35128,ADMIN_CANCELED
37543,1,35129,ORDER_CREATE
37543,2,35129,ORDER_CONFIRMED
37543,10,0,ORDER_ACCEPTED
37544,1,35129,ORDER_CREATE
37544,2,35129,ORDER_CONFIRMED
37544,10,35128,ORDER_ACCEPTED
37545,1,35129,ORDER_CREATE
37545,2,35129,ORDER_CONFIRMED
37545,10,35128,ORDER_ACCEPTED
37546,1,35129,ORDER_CREATE
37546,2,35129,ORDER_CONFIRMED
37546,5,35129,BORROWER_CANCELED
37547,1,35129,ORDER_CREATE
37547,2,35129,ORDER_CONFIRMED
37547,10,0,ORDER_ACCEPTED
37548,1,35129,ORDER_CREATE
37548,2,35129,ORDER_CONFIRMED
37548,6,35128,ADMIN_CANCELED
37547,6,35128,ADMIN_CANCELED
37549,1,35129,ORDER_CREATE
37549,2,35129,ORDER_CONFIRMED
37549,10,0,ORDER_ACCEPTED
37550,1,35129,ORDER_CREATE
37550,2,35129,ORDER_CONFIRMED
37550,10,35128,ORDER_ACCEPTED
37551,1,35129,ORDER_CREATE
37551,2,35129,ORDER_CONFIRMED
37551,10,35128,ORDER_ACCEPTED
37552,1,35129,ORDER_CREATE
37552,2,35129,ORDER_CONFIRMED
37552,5,35129,BORROWER_CANCELED
37552,5,35129,BORROWER_CANCELED
37553,1,35129,ORDER_CREATE
37553,2,35129,ORDER_CONFIRMED
37553,10,0,ORDER_ACCEPTED
37553,5,35129,BORROWER_CANCELED
37554,1,35129,ORDER_CREATE
37554,2,35129,ORDER_CONFIRMED
37554,6,35128,ADMIN_CANCELED
37555,1,35129,ORDER_CREATE
37555,2,35129,ORDER_CONFIRMED
37555,10,0,ORDER_ACCEPTED
37555,6,35128,ADMIN_CANCELED
37556,1,35129,ORDER_CREATE
37556,2,35129,ORDER_CONFIRMED
37556,6,0,ADMIN_CANCELED
37557,1,35129,ORDER_CREATE
37557,2,35129,ORDER_CONFIRMED
37557,10,0,ORDER_ACCEPTED
37558,1,35129,ORDER_CREATE
37558,2,35129,ORDER_CONFIRMED
